scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[17,2,6]]",80,31,27,78,2205.0,275.0,11.5,39,26,2.051282051282051,1.1923076923076923,False,3,True,0.6949152542372882,0.054945054945054944,39,98,26,117.0
greedy,"[[17,2,6]]",81,31,27,78,2205.0,306.0,11.8,39,26,2.076923076923077,1.1923076923076923,False,3,True,0.711864406779661,0.054945054945054944,39,98,26,117.0
greedy,"[[17,2,6]]",82,30,26,82,2263.0,197.0,21.6,39,26,2.1025641025641026,1.1538461538461537,False,3,True,0.7288135593220338,0.04395604395604396,39,98,26,117.0
greedy,"[[17,2,6]]",83,30,26,83,2250.0,240.0,16.5,39,26,2.128205128205128,1.1538461538461537,False,3,True,0.7457627118644068,0.04395604395604396,39,98,26,117.0
greedy,"[[17,2,6]]",84,30,26,83,2250.0,270.0,11.1,39,26,2.1538461538461537,1.1538461538461537,False,3,True,0.7627118644067796,0.04395604395604396,39,98,26,117.0
greedy,"[[17,2,6]]",85,30,26,83,2250.0,300.0,16.1,39,26,2.1794871794871793,1.1538461538461537,False,3,True,0.7796610169491526,0.04395604395604396,39,98,26,117.0
greedy,"[[17,2,6]]",86,30,26,83,2250.0,330.0,20.9,39,26,2.2051282051282053,1.1538461538461537,False,3,True,0.7966101694915254,0.04395604395604396,39,98,26,117.0
greedy,"[[17,2,6]]",87,28,24,87,2247.0,189.0,24.5,39,26,2.230769230769231,1.0769230769230769,False,3,True,0.8135593220338984,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",88,28,24,87,2247.0,217.0,15.6,39,26,2.2564102564102564,1.0769230769230769,False,3,True,0.8305084745762712,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",89,28,24,87,2247.0,245.0,19.8,39,26,2.282051282051282,1.0769230769230769,False,3,True,0.847457627118644,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",90,28,24,87,2247.0,273.0,10.1,39,26,2.3076923076923075,1.0769230769230769,False,3,True,0.864406779661017,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",91,28,24,87,2247.0,301.0,10.6,39,26,2.3333333333333335,1.0769230769230769,False,3,True,0.8813559322033898,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",92,28,24,87,2247.0,329.0,9.8,39,26,2.358974358974359,1.0769230769230769,False,3,True,0.8983050847457628,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",93,28,24,87,2247.0,357.0,10.2,39,26,2.3846153846153846,1.0769230769230769,False,3,True,0.9152542372881356,0.02197802197802198,39,98,26,117.0
greedy,"[[17,2,6]]",94,27,23,94,2284.0,254.0,13.8,39,26,2.41025641025641,1.0384615384615385,False,3,True,0.9322033898305084,0.01098901098901099,39,98,26,117.0
greedy,"[[17,2,6]]",95,27,23,95,2266.0,299.0,13.9,39,26,2.4358974358974357,1.0384615384615385,False,3,True,0.9491525423728814,0.01098901098901099,39,98,26,117.0
greedy,"[[17,2,6]]",96,26,22,96,2232.0,264.0,17.2,39,26,2.4615384615384617,1.0,False,3,True,0.9661016949152542,0.0,39,98,26,117.0
greedy,"[[17,2,6]]",97,26,22,96,2232.0,290.0,9.4,39,26,2.4871794871794872,1.0,False,3,True,0.9830508474576272,0.0,39,98,26,117.0
greedy,"[[17,2,6]]",98,26,22,96,2232.0,316.0,9.3,39,26,2.5128205128205128,1.0,False,3,True,1.0,0.0,39,98,26,117.0
greedy,"[[20,2,6]]",45,85,81,45,3704.0,121.0,44.9,45,27,1.0,3.1481481481481484,False,3,True,0.0,0.8169014084507042,45,98,27,98.0
greedy,"[[20,2,6]]",46,79,75,46,3542.0,92.0,61.3,45,27,1.0222222222222221,2.925925925925926,False,3,True,0.018867924528301886,0.7323943661971831,45,98,27,98.0
greedy,"[[20,2,6]]",47,71,67,47,3241.0,96.0,38.7,45,27,1.0444444444444445,2.6296296296296298,False,3,True,0.03773584905660377,0.6197183098591549,45,98,27,98.0
greedy,"[[20,2,6]]",48,69,65,48,3204.0,108.0,38.0,45,27,1.0666666666666667,2.5555555555555554,False,3,True,0.05660377358490566,0.5915492957746479,45,98,27,98.0
greedy,"[[20,2,6]]",49,64,60,49,3021.0,115.0,47.2,45,27,1.0888888888888888,2.3703703703703702,False,3,True,0.07547169811320754,0.5211267605633803,45,98,27,98.0
greedy,"[[20,2,6]]",50,62,58,50,2991.0,109.0,43.3,45,27,1.1111111111111112,2.2962962962962963,False,3,True,0.09433962264150944,0.49295774647887325,45,98,27,98.0
greedy,"[[20,2,6]]",51,59,55,51,2887.0,122.0,39.4,45,27,1.1333333333333333,2.185185185185185,False,3,True,0.11320754716981132,0.4507042253521127,45,98,27,98.0
greedy,"[[20,2,6]]",52,56,52,52,2785.0,127.0,36.8,45,27,1.1555555555555554,2.074074074074074,False,3,True,0.1320754716981132,0.4084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",53,56,52,52,2785.0,183.0,37.8,45,27,1.1777777777777778,2.074074074074074,False,3,True,0.1509433962264151,0.4084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",54,54,50,54,2769.0,147.0,35.3,45,27,1.2,2.0,False,3,True,0.16981132075471697,0.38028169014084506,45,98,27,98.0
greedy,"[[20,2,6]]",55,53,49,55,2786.0,129.0,24.0,45,27,1.2222222222222223,1.962962962962963,False,3,True,0.18867924528301888,0.36619718309859156,45,98,27,98.0
greedy,"[[20,2,6]]",56,50,46,56,2645.0,155.0,32.5,45,27,1.2444444444444445,1.8518518518518519,False,3,True,0.20754716981132076,0.323943661971831,45,98,27,98.0
