q,columns,layers,qubits,volume,idle,sec,family,method,label_raw,n_labels,q_col,excel_row,n_filled,block_key,instance,idle_true,footprint,util
79,35,31,77,2457,308,27.9,random,annealed,288,1,16,23,7,59,N=288,238,2695,0.9116883116883117
80,35,31,77,2457,343,28.4,random,annealed,288,1,16,24,7,59,N=288,238,2695,0.9116883116883117
81,34,30,81,2455,299,28.1,random,annealed,288,1,16,25,7,59,N=288,299,2754,0.8914306463326072
82,32,28,82,2330,294,27.9,random,annealed,288,1,16,26,7,59,N=288,294,2624,0.8879573170731707
83,32,28,82,2330,326,28.3,random,annealed,288,1,16,27,7,59,N=288,294,2624,0.8879573170731707
84,31,27,84,2352,252,27.9,random,annealed,288,1,16,28,7,59,N=288,252,2604,0.9032258064516129
85,31,27,84,2352,283,28.5,random,annealed,288,1,16,29,7,59,N=288,252,2604,0.9032258064516129
86,31,27,84,2352,314,28.0,random,annealed,288,1,16,30,7,59,N=288,252,2604,0.9032258064516129
87,31,27,84,2352,345,28.1,random,annealed,288,1,16,31,7,59,N=288,252,2604,0.9032258064516129
88,31,27,84,2352,376,28.5,random,annealed,288,1,16,32,7,59,N=288,252,2604,0.9032258064516129
89,31,27,84,2352,407,28.0,random,annealed,288,1,16,33,7,59,N=288,252,2604,0.9032258064516129
90,31,27,84,2352,438,28.3,random,annealed,288,1,16,34,7,59,N=288,252,2604,0.9032258064516129
91,29,25,91,2379,260,28.2,random,annealed,288,1,16,35,7,59,N=288,260,2639,0.9014778325123153
92,28,24,92,2281,295,28.9,random,annealed,288,1,16,36,7,59,N=288,295,2576,0.8854813664596274
93,28,24,92,2281,323,28.0,random,annealed,288,1,16,37,7,59,N=288,295,2576,0.8854813664596274
94,28,24,92,2281,351,28.2,random,annealed,288,1,16,38,7,59,N=288,295,2576,0.8854813664596274
95,28,24,92,2281,379,28.6,random,annealed,288,1,16,39,7,59,N=288,295,2576,0.8854813664596274
96,28,24,92,2281,407,28.1,random,annealed,288,1,16,40,7,59,N=288,295,2576,0.8854813664596274
97,28,24,92,2281,435,28.3,random,annealed,288,1,16,41,7,59,N=288,295,2576,0.8854813664596274
98,28,24,92,2281,463,28.2,random,annealed,288,1,16,42,7,59,N=288,295,2576,0.8854813664596274
67,116,112,67,7599,173,89.1,random,annealed,370,1,0,3,7,67,N=370,173,7772,0.9777406073082862
68,115,111,68,7541,279,41.8,random,annealed,370,1,0,4,7,67,N=370,279,7820,0.9643222506393861
69,101,97,69,6665,304,41.0,random,annealed,370,1,0,5,7,67,N=370,304,6969,0.9563782465203042
70,93,89,70,6264,246,40.0,random,annealed,370,1,0,6,7,67,N=370,246,6510,0.9622119815668203
71,88,84,71,5996,252,39.8,random,annealed,370,1,0,7,7,67,N=370,252,6248,0.9596670934699104
72,81,77,72,5616,216,40.3,random,annealed,370,1,0,8,7,67,N=370,216,5832,0.9629629629629629
73,74,70,73,5134,268,40.2,random,annealed,370,1,0,9,7,67,N=370,268,5402,0.9503887449092928
74,73,69,74,5110,292,39.4,random,annealed,370,1,0,10,7,67,N=370,292,5402,0.9459459459459459
75,69,65,75,4866,309,39.5,random,annealed,370,1,0,11,7,67,N=370,309,5175,0.9402898550724638
76,64,60,76,4614,250,39.4,random,annealed,370,1,0,12,7,67,N=370,250,4864,0.9486019736842105
77,59,55,77,4284,259,38.5,random,annealed,370,1,0,13,7,67,N=370,259,4543,0.9429892141756548
78,55,51,78,3995,295,39.1,random,annealed,370,1,0,14,7,67,N=370,295,4290,0.9312354312354313
79,55,51,78,3995,350,38.9,random,annealed,370,1,0,15,7,67,N=370,295,4290,0.9312354312354313
80,55,51,78,3995,405,38.4,random,annealed,370,1,0,16,7,67,N=370,295,4290,0.9312354312354313
81,53,49,81,3999,294,38.2,random,annealed,370,1,0,17,7,67,N=370,294,4293,0.9315164220824598
82,53,49,81,3999,347,38.6,random,annealed,370,1,0,18,7,67,N=370,294,4293,0.9315164220824598
83,53,49,81,3999,400,38.4,random,annealed,370,1,0,19,7,67,N=370,294,4293,0.9315164220824598
84,50,46,84,3941,259,38.1,random,annealed,370,1,0,20,7,67,N=370,259,4200,0.9383333333333334
85,50,46,84,3941,309,38.6,random,annealed,370,1,0,21,7,67,N=370,259,4200,0.9383333333333334
86,49,45,86,3957,257,38.1,random,annealed,370,1,0,22,7,67,N=370,257,4214,0.9390128144280968
87,49,45,86,3957,306,38.6,random,annealed,370,1,0,23,7,67,N=370,257,4214,0.9390128144280968
88,47,43,88,3736,400,37.8,random,annealed,370,1,0,24,7,67,N=370,400,4136,0.9032882011605415
89,45,41,89,3712,293,38.7,random,annealed,370,1,0,25,7,67,N=370,293,4005,0.9268414481897628
90,44,40,90,3651,309,38.4,random,annealed,370,1,0,26,7,67,N=370,309,3960,0.921969696969697
91,44,40,90,3651,353,38.1,random,annealed,370,1,0,27,7,67,N=370,309,3960,0.921969696969697
92,44,40,90,3651,397,38.4,random,annealed,370,1,0,28,7,67,N=370,309,3960,0.921969696969697
93,44,40,90,3651,441,37.9,random,annealed,370,1,0,29,7,67,N=370,309,3960,0.921969696969697
94,42,38,94,3613,335,38.2,random,annealed,370,1,0,30,7,67,N=370,335,3948,0.9151469098277609
95,42,38,94,3613,377,37.9,random,annealed,370,1,0,31,7,67,N=370,335,3948,0.9151469098277609
96,40,36,96,3504,336,38.2,random,annealed,370,1,0,32,7,67,N=370,336,3840,0.9125
97,40,36,96,3504,376,37.8,random,annealed,370,1,0,33,7,67,N=370,336,3840,0.9125
98,40,36,96,3504,416,38.7,random,annealed,370,1,0,34,7,67,N=370,336,3840,0.9125
64,107,103,64,6670,178,95.1,random,annealed,378,1,24,3,7,64,N=378,178,6848,0.9740070093457944
65,107,103,64,6670,285,44.8,random,annealed,378,1,24,4,7,64,N=378,178,6848,0.9740070093457944
66,102,98,66,6452,280,42.9,random,annealed,378,1,24,5,7,64,N=378,280,6732,0.958407605466429
67,96,93,67,6181,251,42.9,random,annealed,378,1,24,6,7,64,N=378,251,6432,0.960976368159204
68,84,80,68,5503,209,44.0,random,annealed,378,1,24,7,7,64,N=378,209,5712,0.9634103641456583
69,81,77,69,5331,258,40.4,random,annealed,378,1,24,8,7,64,N=378,258,5589,0.9538378958668814
70,78,74,70,5174,286,40.4,random,annealed,378,1,24,9,7,64,N=378,286,5460,0.9476190476190476
71,74,70,71,4946,308,40.2,random,annealed,378,1,24,10,7,64,N=378,308,5254,0.9413779977160259
72,67,63,72,4578,246,39.9,random,annealed,378,1,24,11,7,64,N=378,246,4824,0.9490049751243781
73,66,62,73,4566,252,39.8,random,annealed,378,1,24,12,7,64,N=378,252,4818,0.9476961394769614
74,64,60,74,4421,315,39.8,random,annealed,378,1,24,13,7,64,N=378,315,4736,0.9334881756756757
75,60,56,75,4139,361,39.3,random,annealed,378,1,24,14,7,64,N=378,361,4500,0.9197777777777778
76,57,53,76,4007,325,39.7,random,annealed,378,1,24,15,7,64,N=378,325,4332,0.9249769159741459
