code,"[[21,2,6]]",,,,,,,,code,"[[20,2,6]]",,,,,,,,code,"[[17,2,6]]",,,,,,,,code,"[[16,3,5]]",,,,,,,,code,"[[19,2,6]]",,,,,,
seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec
,76,53,49,74,3647,381,45.1,,,78,52,48,77,3688,368,46.7,,,72,51,47,71,3402,270,45.8,,,73,44,40,71,2862,350,38.6,,,74,54,50,73,3621,375,44.2
,77,52,49,77,3641,363,44.9,,,79,48,44,79,3489,303,52.2,,,73,51,47,71,3402,321,46.9,,,74,44,40,71,2862,394,38.9,,,75,52,48,75,3638,262,44.1
,78,52,49,78,3625,431,45.1,,,80,48,44,79,3489,351,46.9,,,74,50,46,74,3401,299,44.8,,,75,44,40,71,2862,438,39.5,,,76,52,48,75,3638,314,44.2
,79,52,49,78,3625,483,44.8,,,81,48,44,79,3489,399,56.6,,,75,50,46,74,3401,349,44.8,,,76,41,37,76,2818,298,38.6,,,77,52,48,75,3638,366,44.2
,80,52,49,78,3625,535,44.6,,,82,48,44,79,3489,447,45.2,,,76,50,46,74,3401,399,44.7,,,77,41,37,76,2818,339,38.8,,,78,48,44,78,3477,267,43.9
,81,51,47,81,3858,273,44.6,,,83,48,44,79,3489,495,45,,,77,47,43,77,3321,298,46.6,,,78,41,37,76,2818,380,41,,,79,48,44,78,3477,315,44
,82,51,47,81,3858,324,44.7,,,84,47,43,84,3643,305,44.9,,,78,47,43,77,3321,345,45.8,,,79,41,37,76,2818,421,38.7,,,80,48,44,78,3477,363,43.9
,83,51,47,81,3858,375,44.3,,,85,45,41,85,3532,293,49.7,,,79,47,43,77,3321,392,44.7,,,80,38,34,80,2804,236,38,,,81,48,44,78,3477,411,43.9
,84,51,47,84,3855,429,44.8,,,86,45,41,85,3532,338,44.7,,,80,47,43,77,3321,439,46.2,,,81,38,34,80,2804,274,37.8,,,82,48,44,78,3477,459,44.3
,85,50,46,85,3886,364,44.9,,,87,45,41,85,3532,383,44.9,,,81,47,43,77,3321,486,46.4,,,82,38,34,80,2804,312,38.1,,,83,48,44,78,3477,507,43.8
,86,50,46,85,3886,414,44.7,,,88,45,41,85,3532,428,46.5,,,82,47,43,77,3321,533,45.9,,,83,38,34,80,2804,350,38.1,,,84,46,42,84,3614,250,43.6
,87,50,46,85,3886,464,44.6,,,89,45,41,85,3532,473,47.1,,,83,47,43,77,3321,580,45,,,84,38,34,80,2804,388,38.2,,,85,46,42,84,3614,296,44.1
,88,48,44,88,3899,325,44.6,,,90,45,41,85,3532,518,44.6,,,84,47,43,77,3321,627,46.1,,,85,38,34,80,2804,426,38.7,,,86,46,42,84,3614,342,43.9
,89,45,41,89,3709,296,45.1,,,91,45,41,85,3532,563,50.3,,,85,46,42,85,3648,262,44.5,,,86,38,34,80,2804,464,38.2,,,87,45,41,87,3608,307,44.9
,90,45,41,89,3709,341,46.9,,,92,44,40,92,3632,416,45,,,86,46,42,85,3648,308,46.4,,,87,38,34,80,2804,502,37.9,,,88,45,41,87,3608,352,44.2
,91,45,41,89,3709,386,45.9,,,93,44,40,92,3632,460,45.1,,,87,46,42,85,3648,354,45,,,88,38,34,80,2804,540,38.2,,,89,45,41,87,3608,397,44
,92,45,41,89,3709,431,44.6,,,94,44,40,92,3632,504,47.1,,,88,43,40,88,3489,295,45.5,,,89,38,34,80,2804,578,38.2,,,90,44,40,90,3610,350,44
,93,45,41,89,3709,476,46,,,95,44,40,92,3632,548,46.1,,,89,43,40,88,3489,338,46.7,,,90,38,34,80,2804,616,37.9,,,91,44,40,90,3610,394,44.4
,94,45,41,89,3709,521,47.7,,,96,44,40,92,3632,592,45.1,,,90,43,40,88,3489,381,45.5,,,91,38,34,80,2804,654,40.1,,,92,44,40,90,3610,438,44.1
,95,45,41,89,3709,566,45.8,,,97,43,39,97,3825,346,45.2,,,91,43,40,88,3489,424,45.8,,,92,38,34,80,2804,692,39.3,,,93,43,40,93,3633,366,43.9
,96,44,40,96,3873,351,46.4,,,98,43,39,97,3825,389,44.4,,,92,42,38,92,3575,289,46.7,,,93,36,33,93,3007,341,39.4,,,94,43,40,93,3633,409,44.1
,97,44,40,96,3873,395,45.2,,,,,,,,,,,,93,42,38,92,3575,331,45.5,,,94,36,33,93,3007,377,37.9,,,95,43,40,93,3633,452,43.8
,98,43,39,98,3883,331,45,,,,,,,,,,,,94,42,38,92,3575,373,46.1,,,95,35,31,95,2903,422,37.8,,,96,43,40,93,3633,495,43.9
,,,,,,,,,,,,,,,,,,,95,42,38,92,3575,415,45.8,,,96,35,31,95,2903,457,38,,,97,43,40,93,3633,538,44.1
,,,,,,,,,,,,,,,,,,,96,42,38,92,3575,457,46.7,,,97,35,31,95,2903,492,37.7,,,98,43,40,93,3633,581,43.8
,,,,,,,,,,,,,,,,,,,97,42,38,92,3575,499,45.5,,,98,35,31,95,2903,527,38.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,98,41,37,98,3695,323,45.8,,,,,,,,,,,,,,,,,,
